index,/gantry/pitch/target,/gantry/pitch/measurement,/gantry/pitch/control_velocity,/gantry/imu/roll,/gantry/imu/pitch,/gantry/imu/yaw,/dart/left_motor/angle,/dart/left_motor/velocity,/dart/left_motor/control_velocity,/dart/left_motor/torque,/dart/left_motor/control_torque,/dart/right_motor/angle,/dart/right_motor/velocity,/dart/right_motor/control_velocity,/dart/right_motor/torque,/dart/right_motor/control_torque,/dart/up_motor/angle,/dart/up_motor/velocity,/dart/up_motor/control_velocity,/dart/up_motor/torque,/dart/up_motor/control_torque
0,nan,nan,nan,2.77274,-0.00530068,0.000988144,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00791016,nan
1,nan,nan,nan,2.77265,-0.00530302,0.00101819,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00032959,nan,0.0162133,-0,nan,-0.00318604,nan
2,nan,nan,nan,2.77265,-0.00527319,0.0010113,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00834961,nan,0.0162133,-0,nan,-0.00791016,nan
3,nan,nan,nan,2.77251,-0.00527274,0.00107788,-0.0333854,0,nan,-0.000878906,nan,-0.00449542,0,nan,0.0065918,nan,0.0162133,-0,nan,0.00483398,nan
4,nan,nan,nan,2.77252,-0.00527092,0.00108082,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00318604,nan
5,nan,nan,nan,2.77262,-0.00527149,0.00109041,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,0.000109863,nan
6,nan,nan,nan,2.77258,-0.00527247,0.00108173,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00791016,nan
7,nan,nan,nan,2.77249,-0.00532453,0.00111796,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00318604,nan
8,nan,nan,nan,2.77244,-0.00537801,0.00112671,-0.0333854,0,nan,-0.000878906,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00791016,nan
9,nan,nan,nan,2.77238,-0.005343,0.00115602,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00791016,nan
10,nan,nan,nan,2.77233,-0.00534137,0.00118282,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
11,nan,nan,nan,2.7724,-0.00535669,0.00118284,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,0.00483398,nan
12,nan,nan,nan,2.77239,-0.0053865,0.00118275,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00318604,nan
13,nan,nan,nan,2.77237,-0.00539355,0.00118627,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00318604,nan
14,nan,nan,nan,2.77242,-0.00539843,0.00119849,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00791016,nan
15,nan,nan,nan,2.77241,-0.00540973,0.00123046,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00791016,nan
16,nan,nan,nan,2.77243,-0.00544039,0.00123554,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,0.000109863,nan
17,nan,nan,nan,2.77242,-0.00542117,0.00127575,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00791016,nan
18,nan,nan,nan,2.77245,-0.00543719,0.0012944,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.000109863,nan
19,nan,nan,nan,2.7724,-0.00545606,0.00129076,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.0065918,nan,0.0162133,-0,nan,0.00483398,nan
20,nan,nan,nan,2.77242,-0.00545778,0.00128286,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
21,nan,nan,nan,2.77245,-0.00543574,0.00131796,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
22,nan,nan,nan,2.77243,-0.00543988,0.00133844,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00318604,nan
23,nan,nan,nan,2.77245,-0.00545265,0.00132674,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
24,nan,nan,nan,2.77253,-0.00543712,0.00133264,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00791016,nan
25,nan,nan,nan,2.77254,-0.00543597,0.00133623,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00318604,nan
26,nan,nan,nan,2.77258,-0.00545418,0.00135027,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.023291,nan
27,nan,nan,nan,2.77254,-0.00547127,0.00139624,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,0.000109863,nan
28,nan,nan,nan,2.77248,-0.00548546,0.00141089,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
29,nan,nan,nan,2.77246,-0.00545204,0.00139935,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.0065918,nan,0.0162133,-0,nan,0.00483398,nan
30,nan,nan,nan,2.77247,-0.0054627,0.00145685,-0.0333854,0,nan,0.00307617,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
31,nan,nan,nan,2.7725,-0.00546223,0.00143714,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,0.00483398,nan
32,nan,nan,nan,2.7725,-0.00545089,0.00146321,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,-0.00032959,nan,0.0162133,-0,nan,0.00483398,nan
33,nan,nan,nan,2.77257,-0.00546863,0.00146602,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00318604,nan
34,nan,nan,nan,2.77255,-0.00545908,0.00148492,-0.0333854,0,nan,-0.0012085,nan,-0.00449542,0,nan,-0.00494385,nan,0.0162133,-0,nan,-0.00318604,nan
35,nan,nan,nan,2.77258,-0.00543256,0.00150378,-0.0333854,0,nan,-0.00516357,nan,-0.00449542,0,nan,0.00307617,nan,0.0162133,-0,nan,-0.00791016,nan
